,comunidad_1
1191,2758520571
1192,834937377772695553
1193,389009125
1194,4632893727
1195,146268876
1196,1237551744617414656
1197,1094394094481260544
1198,1195664871700025346
1199,780919134410436608
1200,73792154
1201,99225301
1202,39831569
1203,1604981575
1204,107225460
1205,111600251
1206,493721511
1207,219844258
1208,827602806395826176
1209,52247080
1210,819008750099066880
1211,140461350
1212,955040458497028096
1213,180591745
1214,54310973
1215,48199487
1216,715260086
1217,3349155334
1218,1347705010013007873
1219,136623105
1220,288787507
1221,1144749945137876992
1222,1241187344520294401
1223,937731742781370369
1224,1100111034591907840
1225,1085654800224665600
1226,607632470
1227,1548052574
1228,4737433997
1229,1255639057209659392
1230,182236886
1231,206927231
1232,558942751
1233,340231397
1234,84368855
1235,1188188197261627393
1236,210806817
1237,239401867
1238,312915000
1239,331249870
1240,1053743475966074881
1241,168320440
1242,259921962
1243,337472943
1244,145741077
1245,384008080
1246,1674549817
1247,839244108040372226
1248,2419737762
1249,144213954
1250,271621500
1251,1254204598312669186
1252,4254734002
1253,970611543946784769
1254,122802136
1255,1003973569729236992
1256,49627951
1257,259227841
1258,1192546404989906944
1259,129254218
1260,482400638
1261,1286410788585037824
1262,1257366654385782785
1263,1167541278
1264,170238625
1265,135845648
1266,2895896757
1267,77261404
1268,1285047218626584576
1269,814373666
1270,911027710109130758
1271,716801926919299072
1272,140919804
1273,1182104962890948608
1274,87497712
1275,3984236176
1276,965217715807023104
1277,1308431444
1278,7697752
1279,1044603419904933889
1280,3128778121
1281,1359232452837969921
1282,19246983
1283,2424514164
1284,1065188414860001282
1285,202777768
1286,965631177012006915
1287,351902963
1288,21203832
1289,2359704761
1290,156440602
1291,614410403
1292,1157821093798957057
1293,1047813459658911744
1294,1289660192037253131
1295,1291844994433724416
1296,3082091529
1297,1134760424266706944
1298,2978461678
1299,795837298839605250
1300,874863192
1301,569416360
1302,187311492
1303,1290477438
1304,1262511860
1305,636908009
1306,503422896
1307,183708120
1308,1171095407470022656
1309,7178612
1310,562396136
1311,1209987972
1312,165405314
1313,1074124580
1314,716405539023024130
1315,401132961
1316,811719374935560194
1317,1131562763686481921
1318,396905028
1319,889920091525189632
1320,170181771
1321,1143810060
1322,28819631
1323,1486009549
1324,193045025
1325,1160737539818500097
1326,732952040452788224
1327,974466345013252096
1328,1038098638499733505
1329,1300410981126987776
1330,148984299
1331,1346335695426695171
1332,731198960468168704
1333,2480707969
1334,100855129
1335,752538788
1336,4749283865
1337,383462284
1338,1382108690
1339,258049066
1340,556056364
1341,279780818
1342,239723082
1343,125484158
1344,2554646831
1345,2624356467
1346,1110601941468565504
1347,4270562897
1348,426166393
1349,186565741
1350,29958859
1351,1621346238
1352,352658764
1353,1188190934
1354,121556705
1355,190004533
1356,2212634041
1357,201037903
1358,151045358
1359,155476301
1360,263665160
1361,1412792414
1362,402115113
1363,2612402816
1364,2502233379
1365,1255504745315414022
1366,399167196
1367,254620214
1368,300361650
1369,1327976454504800259
1370,179346830
1371,1273761976070615041
1372,2345318126
1373,255833300
1374,191448260
1375,149096668
1376,1190979735763013632
1377,439454206
1378,434473116
1379,4293597436
1380,81122215
1381,87363118
